Method,UncertaintyPercent,Seed,CsvFile,Success,Delay_s,SupportPeakForce_N,SupportRmsForce_N,SupportImpulse_Ns,SupportPeakMoment_Nm,SupportRmsMoment_Nm,TerminalError_m,TerminalError_mm,TrajectoryRMSE_m,TrajectoryRMSE_mm,TrajectoryMaxError_m,TrajectoryMaxError_mm,TotalEffort_N2m2s,SupportEffort_N2m2s,SwingEffort_N2m2s,BaseFinalAngle_deg,BaseMaxAngle_deg
resto,10,0,resto/csv/inertial_err_10_seed00.csv,1,1.29760408401489,0.333750138611557,0.126292075112247,1.04301551724728,0.0186634372220196,0.00756676995951045,0.00188944322841359,1.88944322841359,0.00124321960796917,1.24321960796917,0.00331206639922503,3.31206639922503,0.0582569920649779,0.015839584444309,0.0424174076206688,33.4341435142216,33.4341435142216
resto,10,1,resto/csv/inertial_err_10_seed01.csv,1,1.26538801193237,0.365742335051761,0.13492364218076,1.13777650251991,0.0218317007180154,0.00865164815115709,0.00199856781990156,1.99856781990156,0.00134341119935801,1.34341119935801,0.00330418597384607,3.30418597384607,0.0594873631048942,0.0186778582541222,0.0408095048507721,33.4489475108127,33.4489475108127
resto,10,2,resto/csv/inertial_err_10_seed02.csv,1,1.31582117080688,0.33343359205829,0.127821348553363,1.05993981665275,0.0177273870966795,0.00765830612553394,0.00181212189460641,1.81212189460641,0.00130205388902133,1.30205388902133,0.00336547498841968,3.36547498841968,0.0599527892361876,0.0168990137047767,0.0430537755314109,33.4322098310261,33.4322098310261
resto,10,3,resto/csv/inertial_err_10_seed03.csv,1,1.27755188941956,0.351237889011741,0.131718146695391,1.12350360847627,0.0212417387066253,0.00885360203910102,0.00216346714222288,2.16346714222288,0.0013794259352941,1.3794259352941,0.00340235663169574,3.40235663169574,0.0619967359012351,0.0193419259671628,0.0426548099340723,33.4573675310372,33.4573675310372
resto,10,4,resto/csv/inertial_err_10_seed04.csv,1,1.30267715454102,0.355519538913646,0.130597687654737,1.08793681090691,0.0202134240246401,0.00790247213657032,0.00159614828080254,1.59614828080254,0.00125539346499121,1.25539346499121,0.00315179807874508,3.15179807874508,0.0568252936725666,0.0170224433774455,0.0398028502951212,33.4416298491586,33.4416298491586
