Method,UncertaintyPercent,Seed,CsvFile,Success,Delay_s,SupportPeakForce_N,SupportRmsForce_N,SupportImpulse_Ns,SupportPeakMoment_Nm,SupportRmsMoment_Nm,TerminalError_m,TerminalError_mm,TrajectoryRMSE_m,TrajectoryRMSE_mm,TrajectoryMaxError_m,TrajectoryMaxError_mm,TotalEffort_N2m2s,SupportEffort_N2m2s,SwingEffort_N2m2s,BaseFinalAngle_deg,BaseMaxAngle_deg
baseline,20,0,baseline/csv/inertial_err_20_seed00.csv,1,0.0106852054595947,0.685223381160803,0.418238246894887,3.7855098630633,0.0909917772443793,0.0564196839329787,0.00980454057492897,9.80454057492897,0.0230848701346552,23.0848701346552,0.0454141166243447,45.4141166243447,2.02866632782664,1.97145973957532,0.057206588251322,0.719078104293762,2.60901304310854
baseline,20,1,baseline/csv/inertial_err_20_seed01.csv,1,0.00648903846740723,0.668820497861363,0.410934023320723,3.68878336932698,0.0960727543452989,0.0575042061659161,0.00693490210391776,6.93490210391776,0.0235467633762484,23.5467633762484,0.0467663197639482,46.7663197639482,2.11573836290145,2.05910002155335,0.0566383413481011,0.422073641507458,2.71394592731487
baseline,20,2,baseline/csv/inertial_err_20_seed02.csv,1,0.00377011299133301,0.667003045967406,0.398321749786494,3.6063887432844,0.0880239471931805,0.0529930192910862,0.00688900139857646,6.88900139857646,0.0220751705119773,22.0751705119773,0.0437946043705248,43.7946043705248,1.85824530058493,1.80324719714774,0.0549981034371844,0.516150108437414,2.51761891941107
baseline,20,3,baseline/csv/inertial_err_20_seed03.csv,1,0.0068199634552002,0.703591168736372,0.432766489247878,3.86333840453576,0.0968150713227416,0.0601364289106318,0.00783037563160676,7.83037563160676,0.0245773068562644,24.5773068562644,0.0486499311557044,48.6499311557044,2.29313046048044,2.22983131297851,0.0632991475019275,0.537159121949749,2.80931691472645
baseline,20,4,baseline/csv/inertial_err_20_seed04.csv,1,0.00983214378356934,0.6483349391363,0.386555002329463,3.4514689147181,0.0901864632033973,0.052069569371285,0.00868294762943381,8.68294762943381,0.0215706072649039,21.5706072649039,0.0434524772264535,43.4524772264535,1.8357219406008,1.7620357892944,0.0736861513064028,0.35016344887943,2.54678381940709
